pid,k,variant,fit_on,set_mae,set_acc,n_val,n_support,n_functions_seen,n_fallback,mean_cell_rows,set_mae_tail,set_acc_tail,n_val_tail
010,20,driver_function_fcd,support,0.009259259259259259,0.9907407407407407,108,20,5,0,4.0,nan,nan,0
010,30,driver_function_fcd,support,0.0,1.0,98,30,5,0,6.0,nan,nan,0
010,40,driver_function_fcd,support,0.0,1.0,88,40,5,0,8.0,nan,nan,0
010,50,driver_function_fcd,support,0.0,1.0,78,50,5,0,10.0,nan,nan,0
010,60,driver_function_fcd,support,0.0,1.0,68,60,5,0,12.0,nan,nan,0
011,5,driver_function_fcd,support,2.234234234234234,0.12612612612612611,111,5,3,55,1.6666666666666667,nan,nan,0
011,10,driver_function_fcd,support,1.150943396226415,0.5094339622641509,106,10,4,32,2.5,nan,nan,0
011,20,driver_function_fcd,support,0.7395833333333334,0.6354166666666666,96,20,5,0,4.0,nan,nan,0
011,30,driver_function_fcd,support,0.2441860465116279,0.8023255813953488,86,30,5,0,6.0,nan,nan,0
011,40,driver_function_fcd,support,0.27631578947368424,0.7763157894736842,76,40,5,0,8.0,nan,nan,0
011,50,driver_function_fcd,support,0.3181818181818182,0.7424242424242424,66,50,5,0,10.0,nan,nan,0
011,60,driver_function_fcd,support,0.3392857142857143,0.7321428571428571,56,60,5,0,12.0,nan,nan,0
012,5,driver_function_fcd,support,1.1261261261261262,0.3153153153153153,111,5,4,30,1.25,nan,nan,0
012,10,driver_function_fcd,support,1.4339622641509433,0.22641509433962265,106,10,5,0,2.0,nan,nan,0
012,20,driver_function_fcd,support,1.3229166666666667,0.2708333333333333,96,20,5,0,4.0,nan,nan,0
012,30,driver_function_fcd,support,1.3488372093023255,0.1744186046511628,86,30,5,0,6.0,nan,nan,0
012,40,driver_function_fcd,support,0.7894736842105263,0.32894736842105265,76,40,5,0,8.0,nan,nan,0
012,50,driver_function_fcd,support,0.6515151515151515,0.48484848484848486,66,50,5,0,10.0,nan,nan,0
012,60,driver_function_fcd,support,0.625,0.5178571428571429,56,60,5,0,12.0,nan,nan,0
001,5,driver_function_oracle,query (ORACLE),0.907563025210084,0.5462184873949579,119,5,5,0,23.8,nan,nan,0
001,10,driver_function_oracle,query (ORACLE),0.868421052631579,0.5526315789473685,114,10,5,0,22.8,nan,nan,0
001,20,driver_function_oracle,query (ORACLE),0.7403846153846154,0.5865384615384616,104,20,5,0,20.8,nan,nan,0
001,30,driver_function_oracle,query (ORACLE),0.7021276595744681,0.5957446808510638,94,30,5,0,18.8,nan,nan,0
001,40,driver_function_oracle,query (ORACLE),0.6309523809523809,0.6309523809523809,84,40,5,0,16.8,nan,nan,0
001,50,driver_function_oracle,query (ORACLE),0.6351351351351351,0.6216216216216216,74,50,5,0,14.8,nan,nan,0
001,60,driver_function_oracle,query (ORACLE),0.640625,0.640625,64,60,5,0,12.8,nan,nan,0
